# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.6.1
#@/tick	154004
#@/user_id	linusboyle
bao qian 	抱歉	c=7 d=0.831104 t=154004
bao quan 	保全	c=2 d=0.000136037 t=154004
bao rong 	包容	c=2 d=1.70577e-39 t=154004
bao shang qu 	報上去	c=1 d=1.06531e-09 t=154004
bao shi 	寶石	c=1 d=1.02511e-27 t=154004
bao shi de 	寶石的	c=1 d=2.63957e-66 t=154004
bao shi gong 	寶石工	c=1 d=2.62641e-66 t=154004
bao shou 	保守	c=3 d=0.00522135 t=154004
bao wei chu 	保衛處	c=4 d=7.55165e-21 t=154004
bao wen 	報文	c=6 d=1.74349e-11 t=154004
bao wen chuan shu 	報文傳輸	c=2 d=8.58535e-50 t=154004
bao wen tou 	報文頭	c=1 d=1.58953e-11 t=154004
bao xi bu bao you 	報喜不報憂	c=1 d=5.7189e-15 t=154004
bao xian 	保險	c=1 d=3.2586e-74 t=154004
bao xiao 	報銷	c=16 d=0.83895 t=154004
bao xiao e du 	報銷額度	c=1 d=6.26067e-21 t=154004
bao xing 	保形	c=1 d=3.36252e-61 t=154004
bao xing 	暴行	c=3 d=7.43115e-08 t=154004
bao yan 	保研	c=5 d=0.0221482 t=154004
bao yan de 	保研的	c=1 d=1.31922e-24 t=154004
bao yang 	保養	c=1 d=7.1422e-12 t=154004
bao yi 	抱以	c=2 d=1.12088e-19 t=154004
bao you 	保有	c=1 d=0.0550232 t=154004
bao you 	抱有	c=1 d=3.06736e-39 t=154004
bao yu 	寶玉	c=0 d=3.10631e-12 t=154004
bao yu shi 	寶玉石	c=1 d=3.12188e-11 t=154004
bao yuan 	抱怨	c=3 d=1.71301e-34 t=154004
bao yue 	包月	c=6 d=2.1246e-42 t=154004
bao zao 	暴躁	c=2 d=0.000457378 t=154004
bao zha 	爆炸	c=3 d=0.0130029 t=154004
bao zhang 	保障	c=3 d=1.55002e-09 t=154004
